,time,expect,testMAE,max_trainMAE,anomaly
53046,788.87718,15.675088968429401,21.25792164933123,0.3,True
53047,788.877589,15.085590645972502,21.098204348002422,0.3,True
53048,790.265727,15.545686897646178,20.905703090592958,0.3,True
53049,790.307658,14.214694169590173,20.643707591021464,0.3,True
53050,790.30834,13.734057906681057,20.30548835050263,0.3,True
53051,790.308715,13.820325953869869,19.92012871672562,0.3,True
53052,790.309268,19.98232932449953,19.59665417969463,0.3,True
53053,790.310108,19.98232932449953,19.478324559333302,0.3,True
53054,790.31023,15.675088968429401,19.511765516772343,0.3,True
53055,790.310659,15.085590645972502,19.264796588523836,0.3,True
53056,790.310985,15.545686897646178,19.070561311299546,0.3,True
53057,790.311096,18.754858253070108,18.882163689918034,0.3,True
53058,790.311335,18.076216281851423,18.744266463508428,0.3,True
53059,790.311992,18.754858253070108,18.598948574307087,0.3,True
53060,790.312124,19.98232932449953,18.58431300025993,0.3,True
53061,790.312408,19.98232932449953,18.555405701218174,0.3,True
53062,790.313861,15.675088968429401,18.827356032817512,0.3,True
53063,790.313987,16.47738180728538,18.91301612758531,0.3,True
53064,790.314378,19.98232932449953,19.00464471381844,0.3,True
53065,790.314909,15.545686897646178,19.342917081943988,0.3,True
53066,790.315053,16.580903463911962,19.516227063342903,0.3,True
53067,790.315137,16.270338494032224,19.71544905254031,0.3,True
53068,790.315534,14.362582250485284,19.48494137692131,0.3,True
53069,790.316963,18.83955779031003,19.15819524484113,0.3,True
53070,790.317064,19.98232932449953,19.302150844903963,0.3,True
53071,790.317137,18.83955779031003,19.572800184680013,0.3,True
53072,790.317416,19.98232932449953,19.781164152584797,0.3,True
53073,790.317905,15.545686897646178,19.840908166129207,0.3,True
53074,790.31808,16.270338494032224,19.72131338523446,0.3,True
53075,790.31816,19.98232932449953,19.585677641085383,0.3,True
53076,790.318434,19.98232932449953,19.535072359891334,0.3,True
53077,790.320676,18.754858253070108,19.511396425417658,0.3,True
53078,790.320917,19.98232932449953,19.7169146413862,0.3,True
53079,790.321137,18.754858253070108,19.935302545414157,0.3,True
53080,790.32177,18.076216281851423,19.857507328777803,0.3,True
53081,790.321945,14.214694169590173,20.036663100006113,0.3,True
53082,790.322027,13.734057906681057,19.958586989992614,0.3,True
53083,790.32213,13.820325953869869,19.860530644805596,0.3,True
53084,790.32217,15.545686897646178,19.859193724481923,0.3,True
53085,790.322205,18.076216281851423,19.621864625135387,0.3,True
53086,790.32254,16.969109676261628,19.43390233056905,0.3,True
53087,790.323058,16.969109676261628,19.29967176444023,0.3,True
53088,790.323224,15.545686897646178,19.094164649338687,0.3,True
53089,790.323304,11.611863945836202,19.119260406187344,0.3,True
53090,790.323397,13.820325953869869,18.884836563258194,0.3,True
53091,790.324243,18.076216281851423,18.480283882838187,0.3,True
53092,790.324386,16.969109676261628,18.269218820009623,0.3,True
53093,790.324527,15.545686897646178,18.127011612350504,0.3,True
53094,790.325202,15.675088968429401,17.847684687430093,0.3,True
53095,790.325352,15.085590645972502,17.653369760493536,0.3,True
53096,790.325458,15.545686897646178,17.473604662127283,0.3,True
53097,790.325486,15.675088968429401,17.564901209750857,0.3,True
53098,790.325536,15.085590645972502,17.68963690442019,0.3,True
53099,790.325792,15.545686897646178,17.77967073377773,0.3,True
53100,791.7177,14.214694169590173,17.772929670977643,0.3,True
53101,791.76236,13.820325953869869,17.531865287128408,0.3,True
53102,791.764389,13.734057906681057,17.33778044950159,0.3,True
53103,791.764505,15.675088968429401,17.131722478542898,0.3,True
53104,791.76466,15.085590645972502,17.114378426913103,0.3,True
53105,791.764755,15.545686897646178,17.33521259937316,0.3,True
53106,791.764924,15.545686897646178,17.43703661765962,0.3,True
53107,791.765359,14.214694169590173,17.26066377934859,0.3,True
53108,791.767296,13.734057906681057,17.09395689977582,0.3,True
53109,791.767498,13.820325953869869,16.987194224755584,0.3,True
53110,791.76771,11.611863945836202,16.863370519543004,0.3,True
53111,791.768364,11.611863945836202,16.639103787115907,0.3,True
53112,791.768494,13.820325953869869,16.371222642559413,0.3,True
53113,791.768983,19.98232932449953,16.2195299353225,0.3,True
53114,791.769182,18.83955779031003,16.451919546348954,0.3,True
53115,791.7693,19.98232932449953,16.650747120770255,0.3,True
53116,791.76949,15.675088968429401,17.017297426467014,0.3,True
53117,791.76967,15.085590645972502,17.179582149288237,0.3,True
53118,791.771754,15.545686897646178,17.320725648893752,0.3,True
53119,791.771956,14.214694169590173,17.339147916758385,0.3,True
53120,791.772073,13.820325953869869,17.318952018154373,0.3,True
53121,791.772146,13.734057906681057,17.228517191813303,0.3,True
53122,791.772163,15.675088968429401,17.11786810321885,0.3,True
53123,791.77271,15.675088968429401,17.189640340779604,0.3,True
53124,791.772735,15.085590645972502,17.308671600736208,0.3,True
53125,791.772913,15.085590645972502,17.402134207152677,0.3,True
53126,791.772995,15.545686897646178,17.634117563521826,0.3,True
53127,791.773224,15.545686897646178,17.882232536305043,0.3,True
53128,791.774965,15.545686897646178,17.985913676376992,0.3,True
53129,791.775083,15.545686897646178,17.68142234595172,0.3,True
53130,791.775175,15.545686897646178,17.456086233602154,0.3,True
53131,791.775282,15.545686897646178,17.15956797014262,0.3,True
53132,791.77532,15.545686897646178,17.152645206586865,0.3,True
53133,791.775713,14.214694169590173,17.186975988663065,0.3,True
53134,791.778484,13.734057906681057,17.124248392328347,0.3,True
